merchant,vertical,tier,seasonality,peak_months,engagement_month_label,engagement_month_sort,engagement_date,engagement_type,priority,owner,fy26_fc_gmv,status,next_action,leadership_flag,playbook
Rona,Home Improvement,Tier 0,"spring_home, summer_home, holiday","Apr, May, Jun, Jul, Nov, Dec",Apr 2026,2026-04,2026-04-01,Peak prep,High,Alex Utting,,Planned,Lock creative and launch checklist,Yes,Spring reno / summer outdoor / holiday tools
Canac,Home Improvement,Tier 1,"spring_home, summer_home, holiday","Apr, May, Jun, Jul, Nov, Dec",Apr 2026,2026-04,2026-04-01,Peak prep,High,Cathryn Felton,$1.24M,Planned,Lock creative and launch checklist,No,Spring reno / summer outdoor / holiday tools
Clutch,Auto,Tier 1,"auto_spring, auto_winter_prep","Apr, May, Jun, Oct, Nov",Apr 2026,2026-04,2026-04-01,Peak prep,High,Cathryn Felton,$1.42M,Planned,Lock creative and launch checklist,No,Spring upgrade / winter prep parts and service financing
MedSpa Partners,Aesthetics / Medical,Tier 1,"new_year, pre_summer_aesthetic, holiday","Jan, Feb, Apr, May, Jun, Nov, Dec",Apr 2026,2026-04,2026-04-01,Peak prep,High,Cathryn Felton,"$781,843",Planned,Lock creative and launch checklist,No,New Year / pre-summer treatment package financing
Nissan Stores,Auto,Tier 1,"auto_spring, auto_winter_prep","Apr, May, Jun, Oct, Nov",Apr 2026,2026-04,2026-04-01,Peak prep,High,Lynda Khouildi,"$350,648",Planned,Lock creative and launch checklist,No,Spring upgrade / winter prep parts and service financing
Skin Vitality,Aesthetics / Medical,Tier 1,"new_year, pre_summer_aesthetic, holiday","Jan, Feb, Apr, May, Jun, Nov, Dec",Apr 2026,2026-04,2026-04-01,Peak prep,High,Cathryn Felton,$2.10M,Planned,Lock creative and launch checklist,No,New Year / pre-summer treatment package financing
1010 Tires,Auto,Tier 2,"auto_spring, auto_winter_prep","Apr, May, Jun, Oct, Nov",Apr 2026,2026-04,2026-04-01,Peak prep,Medium,Lynda Khouildi,"$681,828",Planned,Schedule planning touchpoint,No,Spring upgrade / winter prep parts and service financing
Action Car and Truck Accessories,Auto,Tier 2,"auto_spring, auto_winter_prep","Apr, May, Jun, Oct, Nov",Apr 2026,2026-04,2026-04-01,Peak prep,Medium,Lynda Khouildi,"$154,601",Planned,Schedule planning touchpoint,No,Spring upgrade / winter prep parts and service financing
Bath Depot,Home Improvement,Tier 2,"spring_home, summer_home","Apr, May, Jun, Jul",Apr 2026,2026-04,2026-04-01,Peak prep,Medium,Cathryn Felton,"$747,357",Planned,Schedule planning touchpoint,No,Spring reno / summer outdoor / holiday tools
Bath Depot In-Store,Home Improvement,Tier 2,"spring_home, summer_home","Apr, May, Jun, Jul",Apr 2026,2026-04,2026-04-01,Peak prep,Medium,Cathryn Felton,"$584,088",Planned,Schedule planning touchpoint,No,Spring reno / summer outdoor / holiday tools
